MODIFIER;Translation;Emote
may_perform_slave_raid_on_same_religion;May raid coasts, including coasts of countries with same religion;<:may_perform_slave_raid_on_same_r:1005774240169066526>
idea_claim_colonies;Can fabricate claims on any overseas province, provided it is overseas for its owner;<:idea_claim_colonies:1005773898815655946>
may_explore;Can recruit explorers and conquistadors. Explorers may explore ocean provinces.;<:may_explore:1005774235756662844>
auto_explore_adjacent_to_colony;Automatically discover adjacent when a colony is built.;<:auto_explore_adjacent_to_colony:1005773281934200832>
liberty_desire_from_subject_development;Liberty desire from subjects development;<:liberty_desire_from_subject_deve:1005774040931246191>
no_religion_penalty;Heretic and heathen provinces do not give any penalties;<:no_religion_penalty:1005774963577462785>
rival_border_fort_maintenance;Fort maintenance on border with rival;<:rival_border_fort_maintenance:1005775250925035590>
global_heretic_missionary_strength;Missionary strength vs heretics;<:global_heretic_missionary_streng:1005773667189403668>
warscore_cost_vs_other_religion;War score cost vs other religions;<:warscore_cost_vs_other_religion:1005775398614863904>
monthly_gold_inflation_modifier;Monthly gold inflation modifier;<:monthly_gold_inflation_modifier:1005774290274242570>
same_culture_advisor_cost;Cost of advisors with ruler's culture;<:same_culture_advisor_cost:1005775261645672508>
vassal_forcelimit_0.30;Vassal force limit contribution = 0.3;<:vassal_forcelimit_bonus:1005775392633790464>
power_projection_from_insults;Power projection from insults;<:power_projection_from_insults:1005774996259475457>
trade_company_investment_cost;Trade company investment cost;<:trade_company_investment_cost:1005775369485426758>
global_supply_limit_modifier;National supply limit modifier;<:global_supply_limit_modifier:1005773852900593684>
min_autonomy_in_territories;Minimum autonomy in territories;<:min_autonomy_in_territories:1005774266224099338>
sunk_ship_morale_hit_recieved;Morale hit when losing a ship;<:sunk_ship_morale_hit_recieved:1005120808429027400>
own_coast_naval_combat_1;Naval combat bonus off owned coast;<:own_coast_naval_combat_bonus:1005774978358186059>
province_trade_power_value;Provincial trade power modifier;<:province_trade_power_value:1005775358362144808>
same_culture_Advisor;Cost of advisors with ruler's culture;<:same_culture_advisor_cost:1005775261645672508>
justify_trade_conflict_cost;Cost to justify trade conflict;<:justify_trade_conflict_cost:1005774020806975498>
center_of_trade_upgrade_cost;Center of trade upgrade cost;<:center_of_trade_upgrade_cost:1005773331942887444>
global_trade_goods_size_modifier;Goods produced modifier;<:global_trade_goods_size_modifier:1005773860764921856>
global_naval_engagement_modifier;Global naval engagement;<:global_naval_engagement_modifier:1005773678597910589>
naval_tradition_from_battle;Naval tradition from battles;<:naval_tradition_from_battle:1005774955587326002>
