Name;Starter_Ideas;Ambition;Trigger;Idea1;Idea2;Idea3;Idea4;Idea5;Idea6;Idea7;Adjective;Country
HLR_ideas;<:possible_policy:1005774994749538304> Possible policies = 1 && <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 2;<:administrative_efficiency:1005120763071832145> Administrative Efficiency = 0.05;tag = Holy Roman Empire;The Imperial Throne = <:legitimacy:1005774036359454720> Yearly Legitimacy = 1.5;Kaiserliche Armee = <:land_morale:1005774027152965652> Morale of armies = 0.15;Imperial Diplomacy = <:improve_relation_modifier:1005773914078720100> Improve relations = 0.33;Centralized Empire = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.2;Roman Heritage = <:core_creation:1005098690484113489> Core-Creation Cost = -0.2;Adopting the Goosestep = <:discipline:1005098692254105711> Discipline = 0.05;Onwards and Upwards = <:<:governing_capacity_modifier:1005773873867923547> Governing capacity modifier:1005773873867923547> Governing capacity modifier = 0.1;Imperial;Holy Roman Empire
GER_ideas;<:legitimacy:1005774036359454720> Yearly Legitimacy = 1 && <:devotion:1005773440755712010> Yearly devotion = 1 && <:republican_tradition:1005775244306432000> Yearly republican tradition = 0.3 && <:infantry_power:1005773918675669073> Infantry Combat Ability = 0.15;<:diplomatic_upkeep:1005773455423180860> Diplomatic relation = 1;tag = Germany;The German Confederation = <:global_unrest:1005773867131883530> National unrest = -2;The Universities of Germany = <:technology_cost:1005120815056044053> Technology cost = -0.1;Reichsheer = <:discipline:1005098692254105711> Discipline = 0.05;The New Hanseatic League = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.10;German Junkers = <:army_tradition:1005773267652591657> Yearly Army Tradition = 0.5;Reichstag = <:administrative_efficiency:1005120763071832145> Administrative Efficiency = 0.05;Eisen und Kohle = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.2;German;Germany
ENG_ideas;<:infantry_power:1005773918675669073> Infantry Combat Ability = 0.10 && <:global_unrest:1005773867131883530> National unrest = -1;<:free_leader_pool:1005773647891419136> Leader without upkeep = 1;tag = England;A Royal Navy = <:navy_tradition:1005774958540107819> Yearly navy tradition = 0.25 && <:heavy_ship_power:1005773884978647191> Heavy Ship combat ability = 0.10;The Eltham Ordinance = <:production_efficiency:1005775011753234442> Production efficiency = 0.1;Secretaries of State = <:diplomatic_upkeep:1005773455423180860> Diplomatic relation = 1;The Navigation Acts = <:trade_efficiency:1005098702572093592> Trade efficiency = 0.1;Redcoats = <:fire_damage:1005773634507382784> Land fire damage = 0.1 && <:allowed_marine_fraction:1005120777856745492> Marines force limit = 0.25;The Sick and Hurt Board = <:sailors_recovery_speed:1005775259980537866> Sailor recovery speed = 0.10 && <:sailor_maintenance_modifer:1005120782411767882> Sailor maintenance = -0.1;English Bill of Rights = <:years_of_nationalism:1005775426955784282> Years of separatism = -5;English;England
GBR_ideas;<:naval_morale:1005774954232549396> Morale of navies = 0.20 && <:heavy_ship_power:1005773884978647191> Heavy Ship combat ability = 0.15;<:navy_tradition:1005774958540107819> Yearly navy tradition = 1;tag = Great Britain;The Acts of Union = <:diplomatic_annexation_cost:1005773450964643870> Diplomatic Annexation Cost = -0.15 && <:<:governing_capacity_modifier:1005773873867923547> Governing capacity modifier:1005773873867923547> Governing capacity modifier = 0.1;City Upon a Hill = <:global_colonial_growth:1005773661422227508> Global settler increase = 20;Establish British Merchant Navy = <:global_tariffs:1005773854565740564> Global tariffs = 0.15;The Royal Society = <:technology_cost:1005120815056044053> Technology cost = -0.05;Reform of Commission Buying = <:discipline:1005098692254105711> Discipline = 0.05;Early Industrialization = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.2;Britannia Rules the Waves = <:leader_naval_manuever:1005774031766700102> Naval leader maneuver = 1 && <:blockade_efficiency:1005773292478664804> Blockade Efficiency = 0.33 && <:allowed_marine_fraction:1005120777856745492> Marines force limit = 0.50;British;Great Britain
SWE_ideas;<:infantry_power:1005773918675669073> Infantry Combat Ability = 0.2 && <:merc_maintenance_modifier:1005774245986566215> Mercenary maintenance = -0.15;<:leader_land_shock:1005772049727369336> Land leader shock = 1;tag = Sweden;Kung och Riksdag = <:legitimacy:1005774036359454720> Yearly Legitimacy = 1 && <:possible_policy:1005774994749538304> Possible policies = 1;Swedish Steel = <:discipline:1005098692254105711> Discipline = 0.05;The 'Hakkapeliitta' = <:cavalry_cost:1005773403501903894> Cavalry cost = -0.1;Indelningsverket = <:manpower_recovery_speed:1005098699531243600> Manpower recovery speed = 0.2;Swedish Absolutism = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.1 && <:yearly_absolutism:1005775404860178455> Yearly absolutism = 1;Produktplakatet = <:global_trade_goods_size_modifier:1005773860764921856> Goods produced modifier = 0.1;Union and Security Act = <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.20;Swedish;Sweden
MOS_ideas;<:diplomatic_upkeep:1005773455423180860> Diplomatic relation = 1 && <:shock_damage:1005120789978296391> Shock damage = 0.10;<:land_forcelimit_modifier:1005098698046443660> Land force limit modifier = 0.33;tag = Muscovy;Gatherers of Tribute = <:global_tax_modifier:1005098696217739294> National tax modifier = 0.10;Legacy of Dmitriy Donskoi = <:army_tradition:1005773267652591657> Yearly Army Tradition = 0.5;Seat of Metropolitan Bishop  = <:tolerance_own:1005775364745855036> Tolerance of True Faith = 1 && <:global_missionary_strength:1005773673753485373> Missionary strength = 0.01;Pomestnoe Voisko = <:land_morale:1005774027152965652> Morale of armies = 0.10;Strength of the Boyars = <:stability_cost_modifier:1005120800417906871> Stability cost modifier = -0.2 ;Zasechnaya Cherta = <:fort_maintenance_modifier:1005773641922916452> Fort maintenance = -0.20;Descendants of Byzantine Emperors = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1;Muscovite;Muscovy
RUS_ideas;<:core_creation:1005098690484113489> Core-Creation Cost = -0.10 && <:global_manpower_modifier:1005773672226771036> National manpower modifier = 0.33;<:legitimacy:1005774036359454720> Yearly Legitimacy = 1;tag = Russia;Land of the Rus = <:ae_impact:1005120769891762206> Aggressive expansion impact = -0.1;Siberian Frontier = <:idea_may_siberian_frontier:1005773902007504966> May establish Siberian Frontiers = yes && <:auto_explore_adjacent_to_colony:1005773281934200832> Automatically discover adjacent when a colony is built. = yes;Russian Artillery Yard = <:artillery_cost:1005773273981792358> Artillery Cost = -0.1 && <:artillery_power:1005773277026848882> Artillery combat ability = 0.1;Life-Long Conscription  = <:land_forcelimit_modifier:1005098698046443660> Land force limit modifier = 0.50;Abolish the Mestnichestvo = <:yearly_corruption:1005775409939484772> Yearly corruption = -0.1;The Table of Ranks = <:advisor_cost:1005120766569893988> Advisor cost = -0.10 && <:army_tradition:1005773267652591657> Yearly Army Tradition = 0.25;Broaden the curriculum of the Cadet Corps = <:land_morale:1005774027152965652> Morale of armies = 0.05 && <:fire_damage_received:1005773635967008869> Fire damage received = -0.1;Russian;Russia
SPA_ideas;<:land_morale:1005774027152965652> Morale of armies = 0.15 && <:artillery_fire:1005773275508506755> Artillery fire = 1;<:discipline:1005098692254105711> Discipline = 0.05;tag = Spain;Devout Catholicism = <:papal_influence:1005774980123988038> Yearly papal influence = 2;Inter Caetera = <:idea_claim_colonies:1005773898815655946> Can fabricate claims on any overseas province, provided it is overseas for its owner = yes && <:colonists:1005773417997422702> Colonist = 1;Treasure Fleet = <:naval_forcelimit_modifier:1005774951384629288> Naval force limit modifier = 0.25;A Spanish Armada = <:heavy_ship_power:1005773884978647191> Heavy Ship combat ability = 0.1 && <:leader_naval_manuever:1005774031766700102> Naval leader maneuver = 1;Casa de Contratación = <:envoy_travel_time:1005773616387981323> Envoy travel time = -0.33 && <:global_tariffs:1005773854565740564> Global tariffs = 0.15;Rein in the Cortes = <:possible_dip_policy:1005774991368917092> Diplomatic possible policies = 1;Siglo de Oro = <:prestige:1005120779614163074> Yearly prestige = 1;Spanish;Spain
CAS_ideas;<:land_morale:1005774027152965652> Morale of armies = 0.15 && <:allowed_marine_fraction:1005120777856745492> Marines force limit = 0.25;<:global_colonial_growth:1005773661422227508> Global settler increase = 25;tag = Castile;The Reconquista = <:army_tradition_decay:1005773269384843344> Yearly <:army_tradition:1005773267652591657> Yearly Army Tradition Decay = -0.01;Spanish Inquisition = <:global_missionary_strength:1005773673753485373> Missionary strength = 0.02 && <:missionaries:1005774270720389220> Missionaries = 1;Cabildos = <:production_efficiency:1005775011753234442> Production efficiency = 0.1;Inter Caetera = <:idea_claim_colonies:1005773898815655946> Can fabricate claims on any overseas province, provided it is overseas for its owner = yes && <:colonists:1005773417997422702> Colonist = 1;Infantas = <:diplomatic_reputation:1005773452348756028> Diplomatic Reputation = 1 && <:heir_chance:1005773886434058311> Chance of new heir = 0.33;School of Salamanca = <:global_institution_spread:1005773668795813931> Institution spread = 0.1;Nueva Planta = <:global_autonomy:1005773659518021773> Monthly autonomy change = -0.05;Castilian;Castile
NED_ideas;<:global_sailors_modifier:1005773842528079994> National sailors modifier = 0.25 && <:naval_forcelimit_modifier:1005774951384629288> Naval force limit modifier = 0.50;<:trade_efficiency:1005098702572093592> Trade efficiency = 0.15;tag = Netherlands && tag = Holland && ;Found the Amsterdam Wisselbank = <:inflation_reduction:1005774008735764530> Yearly inflation reduction = 0.1;Dutch Trading Spirit = <:merchants:1005774255495053442> Merchants = 1 && <:trade_range_modifier:1005775272961904760> Trade <:range:1005775205530091561> Colonial range = 0.10;Polders = <:development_cost:1005773438989914184> Development cost = -0.1;Instructie voor de Admiraliteiten = <:leader_naval_fire:1005774030172864572> Naval leader fire = 2 && <:allowed_marine_fraction:1005120777856745492> Marines force limit = 0.25;Embrace Humanism = <:tolerance_heretic:1005120820315697223> Tolerance of Heretics = 3;Army Sappers = <:siege_ability:1005120793438593115> Siege ability = 0.10;Platoon Fire = <:fire_damage:1005773634507382784> Land fire damage = 0.1;Dutch;Netherlands
