Name;Starter_Ideas;Ambition;Trigger;Idea1;Idea2;Idea3;Idea4;Idea5;Idea6;Idea7;Adjective;Country
HLR_ideas;Possible policies = 1 && Diplomatic Reputation = 2;Administrative Efficiency = 0.05;tag = Holy Roman Empire;The Imperial Throne = Legitimacy = 1.5;Kaiserliche Armee = Morale of armies = 0.15;Imperial Diplomacy = Improve relations = 0.33;Centralized Empire = National tax modifier = 0.2;Roman Heritage = Core-Creation Cost = -0.2;Adopting the Goosestep = Discipline = 0.05;Onwards and Upwards = Governing capacity modifier = 0.1;Imperial;Holy Roman Empire
GER_ideas;Legitimacy = 1 && Devotion = 1 && Republican Tradition = 0.3 && Infantry Combat Ability = 0.15;Diplomatic relation = 1;tag = Germany;The German Confederation = National unrest = -2;The Universities of Germany = technology cost = -0.1;Reichsheer = Discipline = 0.05;The New Hanseatic League = Trade Efficiency = 0.10;German Junkers = Yearly Army Tradition = 0.5;Reichstag = Administrative Efficiency = 0.05;Eisen und Kohle = Goods produced modifier = 0.2;German;Germany
ENG_ideas;Infantry Combat Ability = 0.10 && National unrest = -1;Leader without upkeep = 1;tag = England;A Royal Navy = Navy Tradition = 0.25 && Heavy Ship combat ability = 0.10;The Eltham Ordinance = Production Efficiency = 0.1;Secretaries of State = Diplomatic relation = 1;The Navigation Acts = Trade Efficiency = 0.1;Redcoats = Land fire damage = 0.1 && Marines force limit = 0.25;The Sick and Hurt Board = Sailor recovery speed = 0.10 && Sailor maintenance = -0.1;English Bill of Rights = Years of separatism = -5;English;England
GBR_ideas;Morale of navies = 0.20 && Heavy Ship combat ability = 0.15;Navy Tradition = 1;tag = Great Britain;The Acts of Union = Diplomatic Annexation Cost = -0.15 && Governing capacity modifier = 0.1;City Upon a Hill = Global settler increase = 20;Establish British Merchant Navy = Global tariffs = 0.15;The Royal Society = technology cost = -0.05;Reform of Commission Buying = Discipline = 0.05;Early Industrialization = Goods produced modifier = 0.2;Britannia Rules the Waves = Naval leader maneuver = 1 && Blockade Efficiency = 0.33 && Marines force limit = 0.50;British;Great Britain
SWE_ideas;Infantry Combat Ability = 0.2 && Mercenary maintenance = -0.15;Land leader shock = 1;tag = Sweden;Kung och Riksdag = Legitimacy = 1 && Possible policies = 1;Swedish Steel = Discipline = 0.05;The 'Hakkapeliitta' = Cavalry cost = -0.1;Indelningsverket = Manpower recovery speed = 0.2;Swedish Absolutism = Stability cost modifier = -0.1 && Yearly absolutism = 1;Produktplakatet = Goods produced modifier = 0.1;Union and Security Act = National manpower modifier = 0.20;Swedish;Sweden
MOS_ideas;Diplomatic relation = 1 && Shock damage = 0.10;Land force limit modifier = 0.33;tag = Muscovy;Gatherers of Tribute = National tax modifier = 0.10;Legacy of Dmitriy Donskoi = Yearly Army Tradition = 0.5;Seat of Metropolitan Bishop  = Tolerance of True Faith = 1 && Missionary strength = 0.01;Pomestnoe Voisko = Morale of armies = 0.10;Strength of the Boyars = Stability cost modifier = -0.2 ;Zasechnaya Cherta = Fort maintenance = -0.20;Descendants of Byzantine Emperors = Diplomatic Reputation = 1;Muscovite;Muscovy
RUS_ideas;Core-Creation Cost = -0.10 && National manpower modifier = 0.33;Legitimacy = 1;tag = Russia;Land of the Rus = Aggressive expansion impact = -0.1;Siberian Frontier = May establish Siberian Frontiers = yes && Automatically discover adjacent when a colony is built. = yes;Russian Artillery Yard = Artillery Cost = -0.1 && Artillery combat ability = 0.1;Life-Long Conscription  = Land force limit modifier = 0.50;Abolish the Mestnichestvo = Yearly corruption = -0.1;The Table of Ranks = Advisor cost = -0.10 && Yearly Army Tradition = 0.25;Broaden the curriculum of the Cadet Corps = Morale of armies = 0.05 && Fire damage received = -0.1;Russian;Russia
SPA_ideas;Morale of armies = 0.15 && Artillery fire = 1;Discipline = 0.05;tag = Spain;Devout Catholicism = Yearly papal influence = 2;Inter Caetera = Can fabricate claims on any overseas province, provided it is overseas for its owner = yes && Colonist = 1;Treasure Fleet = Naval force limit modifier = 0.25;A Spanish Armada = Heavy Ship combat ability = 0.1 && Naval leader maneuver = 1;Casa de Contratación = Envoy travel time = -0.33 && Global tariffs = 0.15;Rein in the Cortes = Diplomatic possible policies = 1;Siglo de Oro = Yearly prestige = 1;Spanish;Spain
CAS_ideas;Morale of armies = 0.15 && Marines force limit = 0.25;Global settler increase = 25;tag = Castile;The Reconquista = Yearly Yearly Army Tradition Decay = -0.01;Spanish Inquisition = Missionary strength = 0.02 && Missionaries = 1;Cabildos = Production Efficiency = 0.1;Inter Caetera = Can fabricate claims on any overseas province, provided it is overseas for its owner = yes && Colonist = 1;Infantas = Diplomatic Reputation = 1 && Chance of new heir = 0.33;School of Salamanca = Institution spread = 0.1;Nueva Planta = Monthly autonomy change = -0.05;Castilian;Castile
NED_ideas;National sailors modifier = 0.25 && Naval force limit modifier = 0.50;Trade Efficiency = 0.15;tag = Netherlands && tag = Holland && ;Found the Amsterdam Wisselbank = Yearly inflation reduction = 0.1;Dutch Trading Spirit = Merchants = 1 && Trade range = 0.10;Polders = Development cost = -0.1;Instructie voor de Admiraliteiten = Naval leader fire = 2 && Marines force limit = 0.25;Embrace Humanism = Tolerance of Heretics = 3;Army Sappers = Siege ability = 0.10;Platoon Fire = Land fire damage = 0.1;Dutch;Netherlands
DAN_ideas;Ship durability = 0.05 && National tax modifier = 0.10;Global naval engagement = 0.10;tag = Denmark;Nordic Rulers Legacy = Shock damage = 0.1;Vornedskap = National manpower modifier = 0.2 && National sailors modifier = 0.2;Old Naval Traditions = Morale of navies = 0.1 && Ship disengagement chance = 0.05;Found the Rentekammer = Construction Cost = -0.15;Reorganize the Klaedekammer = Naval maintenance modifier = -0.15;Found the Copenhagen Dockyard = Naval force limit modifier = 0.5;Den Danske Lov = National unrest = -1;Danish;Denmark
FRA_ideas;Diplomatic Reputation = 1 && National manpower modifier = 0.20;Discipline = 0.05;tag = France;French Language in All Courts = Diplomatic relation = 1;Elan! = Morale of armies = 0.20;Estates General = National tax modifier = 0.1;Native Trading Principles = Native uprising chance = -0.5 && Assimilated Natives = 0.5;Vauban Fortifications = Fort maintenance = -0.2;The Philosophes = technology cost = -0.1;Liberté, Égalité, Fraternité = Tolerance of Heathens = 2 && Tolerance of Heretics = 2;French;France
TUR_ideas;Discipline = 0.05 && Tolerance of Heathens = 3;Land force limit modifier = 0.33;tag = Ottomans;Kanunnames = Core-Creation Cost = -0.20 && Max promoted culture = 1;Ghazi = Manpower recovery speed = 0.2;Timar System = Cavalry combat ability = 0.15;Autonomous Pashas = Cost of reducing war exhaustion = -0.10;The Law code of Suleiman = National tax modifier = 0.1;Tulip Period = Trade Efficiency = 0.10;Found the Imperial School of Naval Engineering = Ship cost = -0.1;Ottoman;Ottomans
FER_ideas;Light ship combat ability = 0.15 && Siege ability = 0.1;Ship trade power = 0.2;tag = Ferrara;Papal Recognition = Yearly papal influence = 1 && Religious Unity = 0.25;Center of Culture = Institution spread = 0.1;Alfonso I's Reforms = Artillery combat ability = 0.1;Margraves of Este = Diplomatic Reputation = 1;Resisting Venetian Control = Domestic trade power = 0.25;Este Castle = Fort Defence = 0.15 && Yearly prestige = 0.5;The Ferraran Arsenal = Flagship cost = -0.5 && Naval leader fire = 1;Ferrarese;Ferrara
